Country,2011,2012,2013,2014,2015,2016
Australia,62517.833747150304,68012.1479005934,68150.1070413215,62510.7911705641,56755.7217124249,49971.131456129006
Canada,52101.7960864825,52542.346664823206,52504.655704109005,50835.5111782446,43495.0543869902,42279.9008231637
France,43790.7320482019,40874.7035053457,42592.934094334196,43008.647381710696,36613.3752159613,36962.222290118
Germany,46644.776027968,43858.3630551076,46285.764068840705,47959.9932737599,41139.5445685533,42098.9204453545
Italy,38599.0622070322,35053.526244257206,35549.9746972954,35518.4152916749,30230.2263021296,30936.125444977002
Japan,48167.9972684965,48603.4766497749,40454.447457890295,38109.4121125573,34524.4698609337,38794.330940551496
South Korea,24079.788523886,24358.7821758226,25890.0186698906,27811.36638377,27105.076226264,27608.247428711602
Mexico,10203.4208543113,10241.7279153745,10725.1833166036,10922.3760488647,9605.95235103139,8739.756042809291
United Kingdom,42038.500479034905,42462.7149069427,43444.5648427389,47417.6350484639,44966.10192526651,41074.1672796521
United States,49883.1139837344,51603.4972614412,53106.9097703155,55032.9579979166,56803.4724334919,57904.2019610641
Brazil,13245.612499544799,12370.024200714899,12300.322575223301,12112.5903019529,8814.000986812609,8712.88704442864
India,1458.10352686177,1443.87952939042,1449.6059123387,1573.88149211052,1605.60543109026,1729.26802051544
Indonesia,3643.0439361610206,3694.348946032371,3623.91158235134,3491.6247908576697,3331.69512758628,3562.84575641971
Russia,14351.2120537731,15434.5747807082,16007.089993443999,14100.7291028658,9313.787541666241,8745.37511648808
South Africa,8007.412846344409,7501.4699839525,6832.456890967011,6433.187276628941,5734.633629153311,5272.91842475419
Turkey,11335.5105096808,11707.2597122125,12519.391425900802,12095.854571946498,10948.7246068236,10820.633842346
China,5618.13249134962,6316.91886335683,7050.64591988963,7651.36604428568,8033.388043106791,8078.790474372379
Argentina,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447
Saudi Arabia,23745.801614340402,25243.358698402404,24844.7443709487,24463.903163850096,20627.9327820675,19879.2975304177
