Country,2011,2012,2013,2014,2015,2016
Australia,1396649906339.35,1546151783872.96,1576184467015.49,1467483705131.74,1351693984524.5,1208846993739.99
Canada,1789140665202.84,1823966686523.63,1842018420853.1,1801480123070.82,1552899925233.71,1526705529135.32
France,2861408170264.61,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2471285607081.72
Germany,3744408602683.94,3527344944139.83,3732743446218.92,3883920155292.26,3360549973888.58,3466790065011.83
Italy,2291991045770.29,2087077032435.15,2141315327318.21,2159133919743.77,1835899237320.04,1875579883543.09
Japan,6157459594823.72,6203213121334.12,5155717056270.83,4850413536037.84,4389475622588.97,4926667087367.51
South Korea,1202463682633.85,1222807284485.31,1305604981271.91,1411333926201.24,1382764027113.82,1414804158515.26
Mexico,1180489601957.61,1201089987015.45,1274443084716.57,1314563967425.24,1170564619927.69,1077903618176.07
United Kingdom,2659310054646.23,2704887678386.72,2786022872706.81,3063803240208.01,2928591002002.51,2694283209613.29
United States,15542581104000.0,16197007349000.0,16784849190000.0,17521746534000.0,18219297584000.0,18707188235000.0
Brazil,2616200980392.16,2465188674415.03,2472806456101.29,2455994050148.75,1802214373741.32,1796275437087.99
India,1823050405350.42,1827637859135.7,1856722121394.53,2039127446298.55,2103587813812.75,2290432075123.75
Indonesia,892969107923.0941,917869910105.749,912524136718.018,890814755233.225,860854235065.0791,931877364177.7421
Russia,2051661732059.78,2210256976945.38,2297128039058.21,2059984158438.46,1363594369577.82,1282723881134.01
South Africa,416418874936.30396,396332702639.49603,366829390478.954,350904575292.317,317620522794.82697,296357282715.109
Turkey,832523680908.06,873982246611.9541,950579413122.56,934185915386.096,859796872677.614,863721648068.8059
China,7551500425597.77,8532230724141.76,9570405758739.79,10438529153237.6,11015542352468.9,11137945669350.6
Argentina,530163281574.65796,545982375701.128,552025140252.246,526319673731.63794,594749285413.212,557531376217.967
Saudi Arabia,671238840106.667,735974843360.0,746647127413.333,756350347333.3341,654269902880.0,644935541440.0
