Country,2012,2013,2014,2015,2016,Annual Change
Australia,4422342101.972031,7144827514.638626,-6637789045.058258,-3989136334.2272186,-8102905926.280525,-1432532337.791069
Canada,,,,,,
France,-11460310712.712708,8176369584.330139,2595942094.067444,-23983556875.245316,1025283611.6092987,-4729254459.590228
Germany,-6008815936.093842,10194908384.125183,6912504105.84491,-29641798118.415466,4957689032.87323,-2717102506.333197
Italy,-9747365695.130539,3945440064.564636,-1189682635.5289764,-13054389484.589645,-3111696845.404175,-4631538919.21774
Japan,4748365084.641327,-40062134956.63144,-14818158453.518646,,,-16710642775.169586
South Korea,,,,,,
Mexico,1021155765.0367203,-1444338647.5529556,9305730503.333168,-7872347774.863251,-8356260604.048279,-1469212151.6189194
United Kingdom,,,17874781197.99597,-9288056370.23117,-16441579380.710266,-2618284850.9818215
United States,,,41714200492.59656,,,41714200492.59656
Brazil,-5762914593.44342,44197686.39575195,1710855112.2182007,-33617034480.468323,,-9406224068.824448
India,1477619324.241623,700944182.5458832,,,,1089281753.393753
Indonesia,2795519697.1290436,-624182850.8584709,-1361972528.4689522,1559494134.2482185,,592214613.0124598
Russia,,2522181383.5162354,-3776819614.8044434,-30236106937.707787,-4256977972.399788,-8936930785.348946
South Africa,422876549.1947212,-3193460886.2510986,-841565897.6677895,-2299784413.8870926,-1312710715.407711,-1444929072.8037941
Turkey,,,,,,
China,,,,,,
Argentina,1138312010.9702835,824164342.5240173,-1793140462.1501007,6135059434.363556,-3286721110.338768,603534843.0737976
Saudi Arabia,,,,,,
