Country,2012,2013,2014,2015,2016
Australia,0.06229218462647429,0.09473904204923767,-0.08039889493427899,-0.052541930808698026,-0.11264396966409536
Canada,,,,,
France,-0.07257904885973882,0.055833967753324346,0.016789483976249228,-0.15255445444447294,0.007695618251885836
Germany,-0.03337792029864392,0.0585864237888734,0.037525176509740646,-0.15509337346336738,0.030701476606686942
Italy,-0.10262360356901834,0.046289320843344965,-0.013340272120097056,-0.1483620172409314,-0.04152488331270826
Japan,0.021170613009581018,-0.1749142176522718,-0.07841265395403751,,
South Korea,,,,,
Mexico,0.016942550450738468,-0.02356456390581281,0.15548815620333675,-0.11383756979642719,-0.1363578001898118
United Kingdom,,,0.11481054653632379,-0.053513680799149414,-0.10008504159015935
United States,,,0.050399598234501165,,
Brazil,-0.03839327797455644,0.000306206958246606,0.011849384375727821,-0.23010501475978173,
India,0.02135094435945345,0.009916603923122902,,,
Indonesia,0.09815483226296014,-0.019957097730642206,-0.044433324838312124,0.05324308531420154,
Russia,,0.030111006731894895,-0.04377147438129754,-0.36646213718194504,-0.08143893115061979
South Africa,0.017030860603185555,-0.12645920942296002,-0.038149934811406716,-0.10838905236271396,-0.06938920806718143
Turkey,,,,,
China,,,,,
Argentina,0.040583012551493984,0.028237097477434532,-0.05974853679186543,0.21741410701363528,-0.09567389831423467
Saudi Arabia,,,,,
