Country,2011,2012,2013,2014,2015,2016
Australia,0.0508313,0.0487765,0.0523801,0.0517368,0.0532175,0.0528031
Canada,0.052744400000000004,,,,,
France,0.055183,0.05456419999999999,0.0550028,0.0551206,0.0546424,0.0543259
Germany,0.048078,0.0493331,0.049349699999999996,0.049208600000000005,0.0480518,0.048009300000000005
Italy,0.041440700000000004,0.040839099999999996,0.0416472,0.0407525,0.0408169,0.0382943
Japan,0.0364258,0.0369226,0.0366538,0.035905900000000004,,
South Korea,,,,,,
Mexico,0.0510565,0.05103100000000001,0.046960499999999995,0.05260619999999999,0.0523524,0.0491005
United Kingdom,0.056462000000000005,,0.0558823,0.0566499,0.0560939,0.054869699999999993
United States,,,0.0493105,0.0496174,,
Brazil,0.0573741,0.058551,0.058388499999999996,0.0594848,0.062410600000000004,
India,0.037961800000000004,0.038675,0.0384467,,,
Indonesia,0.0318944,0.0340748,0.0335904,0.032880099999999995,0.035836,
Russia,,0.0378973,0.0375621,0.0400528,0.038334,0.037432099999999996
South Africa,0.0596275,0.0637164,0.0601354,0.0604662,0.0595619,0.059405900000000005
Turkey,,,,,,
China,,,,,,
Argentina,0.0529063,0.0534583,0.0543661,0.0536144,0.0577611,0.0557218
Saudi Arabia,,,,,,
