Country,2011,2012,2013,2014,2015,2016
Australia,3177.8627625515214,3317.3945320732937,3569.7094218351244,3234.1083006332406,3020.3976202309723,2638.6306513911254
Canada,2748.0779735038677,,,,,
France,2416.5039666159255,2230.2954970063834,2342.7306354038446,2370.6624488683224,2000.6426939006437,2008.0059919107216
Germany,2242.5875418726455,2163.6690104339286,2284.188571068068,2360.0441250111417,1976.8291676992094,2021.1397013371582
Italy,1599.5721572029595,1431.5544636418442,1480.556906213201,1447.4642191739813,1233.9041239513938,1184.6772686275829
Japan,1754.5578349028,1794.5667269489788,1482.8092262320192,1368.3527403722712,,
South Korea,,,,,,
Mexico,520.9509568481449,522.6456172494762,503.6599711393633,574.584698901786,502.89465986213577,429.12639157995756
United Kingdom,2373.577814047269,,2427.7822059113882,2686.204283731975,2522.324024785707,2253.7272363843267
United States,,,2618.7282742291422,2730.5922901658273,,
Brazil,759.9550961101332,724.277286976058,718.1973846834256,720.5150115936078,550.0870899875671,
India,55.352234466021144,55.84204079917449,55.73256362991229,,,
Indonesia,116.19270051749407,125.88420146626383,121.72863961581444,114.80497228587924,119.39462659218192,
Russia,,584.928710836933,601.2599150427428,564.7736826112633,357.03473162223366,327.3577558978934
South Africa,477.4620094954013,477.96666208551113,410.87252812105754,388.9903885061008,341.56567475626656,313.24246464910493
Turkey,,,,,,
China,,,,,,
Argentina,679.7858638641804,699.3769943157256,711.1224368036902,661.3228070476001,796.471298101298,712.6953330456465
Saudi Arabia,,,,,,
