Country,2011,2012,2013,2014,2015,2016,total
Australia,70993530384.1074,75415872486.07944,82560700000.71806,75922910955.6598,71933774621.43259,63830868695.15206,440657657143.14935
Canada,94367150901.72469,,,,,,94367150901.72469
France,157901087059.71198,146440776346.99927,154617145931.3294,157213088025.39685,133229531150.15154,134254814761.76083,883656443275.3499
Germany,180023676799.83847,174014860863.74463,184209769247.8698,191122273353.71472,161480475235.29926,166438164268.1725,1057289219768.6395
Italy,94981713330.45287,85234347635.32233,89179787699.88696,87990105064.35799,74935715579.76834,71824018734.36417,504145688044.1526
Japan,224290391709.12985,229038756793.77118,188976621837.13974,174158463383.6211,,,816464233723.6619
South Korea,,,,,,,0.0
Mexico,60271667362.34872,61292823127.38544,59848484479.83248,69154214983.16565,61281867208.3024,52925606604.25412,364774663765.2888
United Kingdom,150149964305.43546,,155689365979.46378,173564147177.45975,164276090807.22858,147834511426.5183,791514079696.106
United States,,,827669305983.495,869383506476.0916,,,1697052812459.5864
Brazil,150102176669.11783,144339262075.6744,144383459762.07016,146094314874.28836,112477280393.82004,,697396493774.9708
India,69206274877.83157,70683894202.0732,71384838384.61908,,,,211275007464.52386
Indonesia,28480713915.742336,31276233612.87138,30652050762.01291,29290078233.543957,30849572367.792175,,150548648891.96277
Russia,,83762771732.39215,86284953115.90839,82508133501.10394,52272026563.39616,48015048590.99637,352842933503.797
South Africa,24830016465.264465,25252893014.459187,22059432128.208088,21217866230.5403,18918081816.653206,17605371101.245495,129883660756.37074
Turkey,,,,,,,0.0
China,,,,,,,0.0
Argentina,28048977623.973328,29187289634.94361,30011453977.46763,28218313515.317528,34353372949.681084,31066651839.342316,180886059540.7255
Saudi Arabia,,,,,,,0.0
