Country,2012,2013,2014,2015,2016,Annual Change
Australia,8019710538.809921,2682038171.474823,-3914469100.3527527,-3482355049.4900665,-9622558028.6203,-1263526693.635675
Canada,2686473185.401306,-420505557.18148804,-5132930811.08493,-13377716775.158646,-572401626.7546692,-3363416316.9556856
France,-12334358082.955109,14065423672.005066,7758523994.811188,-38194042128.965576,21635321470.59482,-1413826214.9019227
Germany,-18156216898.279175,26232863570.463867,17258792076.871643,-45211644150.94885,12973295796.205261,-1380581921.1374512
Italy,-13633477956.248108,3489925537.038513,1384933754.9857788,-24131751402.567474,1745166801.5361023,-6229040653.051038
Japan,14375220064.003845,-92990226273.9013,-26859704729.46051,-40695022110.71442,48676890557.769104,-19498568498.460655
South Korea,1152097699.3202667,4284080787.7467575,5920551629.992348,852534565.6254272,4000980583.406296,3242049053.218219
Mexico,1655540739.4086685,3733353974.5798187,-1754382294.531868,-3016124120.672035,-4295717096.425789,-735465759.5282409
United Kingdom,1701631370.8572998,28068335335.105713,20788846481.896637,-9071078039.846191,-19186267403.433655,4460293548.91596
United States,50751649331.0061,55010532130.28369,1013596922734.9922,157459541546.15625,103433184469.48486,276050366042.38464
Brazil,-4302775576.432098,75901664.90052795,2034238472.7279358,-21504376977.94552,1740178785.0841446,-4391366726.333002
India,-56616684.21293259,-969758448.6243534,1404425037.1256924,1938828057.1162453,1900780005.3649483,843531593.35392
Indonesia,859924666.9071321,449989864.812541,1127685660.4271202,861272397.0686302,2581545073.589842,1176083532.561053
Russia,7986840469.357712,3214662324.3705597,-6845974273.806786,-23563998908.643486,-3745830633.6944275,-4590860204.483286
South Africa,-104321369.98644447,-1442577547.573944,-501122288.98067284,-1002398583.2374878,-1031132415.662611,-816310441.088232
Turkey,102051696.66322327,1816805041.199974,-1284465233.032814,-3714302883.9707336,1428124229.0341644,-330357430.0212372
China,40866429305.36038,40819741225.38803,33893315557.61682,33028431706.849792,-2171753019.747925,29287232955.093422
Argentina,3375621875.662262,966258973.1497803,-1095696832.083107,7213744582.670906,-9256834765.883595,240618766.70324937
Saudi Arabia,3490399849.2737026,3004266882.5812874,5015466992.139954,-1347463245.417221,-1765282338.3500633,1679477628.0455317
