Country,2011,2012,2013,2014,2015,2016
Australia,0.0592239651,0.0586843134,0.059267741799999996,0.060990404600000006,0.0636387162,0.06319866140000001
Canada,0.0754212875,0.0754541005,0.074486367,0.0733132315,0.0764341672,0.0773706577
France,0.0850848018,0.0861188675,0.087223989,0.08868767030000001,0.0880802227,0.0956559676
Germany,0.0891669626,0.0895067905,0.0916093467,0.0924872207,0.09343748460000001,0.0943162482
Italy,0.06803757199999999,0.068185326,0.0680880352,0.0681675582,0.0670249942,0.0665374499
Japan,0.088905056,0.09056669490000001,0.0909309566,0.0911168864,0.0914140074,0.0913267407
South Korea,0.0375889975,0.0379058112,0.0387832335,0.0400728229,0.041517329,0.0434050531
Mexico,0.0291563857,0.0300346779,0.031235372799999998,0.0289474864,0.0299318789,0.028519693999999998
United Kingdom,0.0709625895,0.0703959579,0.0784205674,0.0780958574,0.078604101,0.078318788
United States,0.07938532150000001,0.0793112221,0.07981096309999999,0.1343023595,0.1378028671,0.13973797640000002
Brazil,0.0352451578,0.0356587882,0.0355796315,0.0366514654,0.0380151246,0.0391095827
India,0.0093731915,0.0093186863,0.0086504196,0.008565355,0.0092245631,0.0093019386
Indonesia,0.007999854899999999,0.0087196975,0.009263905999999999,0.010755573400000001,0.012130388,0.0139761319
Russia,0.029956455000000003,0.031420487999999996,0.0316316783,0.0319497801,0.030985785,0.030019096000000002
South Africa,0.0408118819,0.0426170146,0.0421120538,0.0425951036,0.043902761799999995,0.043573370699999996
Turkey,0.0370947494,0.0354518746,0.0345064427,0.0337370199,0.0323359468,0.033842465599999996
China,0.023237560799999998,0.0253561919,0.026870816899999997,0.027883041,0.029420827200000003,0.0289025126
Argentina,0.0568118433,0.0613484549,0.0624272911,0.063394433,0.0682295597,0.056180958499999996
Saudi Arabia,0.0248944638,0.027447311600000003,0.0310786674,0.0373111017,0.0410729599,0.0389302768
