Country,2011,2012,2013,2014,2015,2016
Australia,4067.59395007,4083.90377323,3943.95274641,3797.34117834,3333.87726324,3416.98230887
Canada,3905.83289448,3944.04955113,3893.02741644,3704.85053801,3315.97970723,3274.28885079
France,3748.46803211,3537.54707471,3734.27290172,3832.11215416,3225.40892025,3534.14982713
Germany,4176.6895467,3948.94504754,4269.11824862,4455.15160723,3884.4601508,3991.60343916
Italy,2608.84817276,2379.62686137,2430.43396744,2413.16034745,2020.67206168,2039.35609742
Japan,4259.9711231,4374.52566792,3653.67949869,3448.38227175,3139.38394068,3538.20950698
South Korea,908.6282675000001,927.91629229,1009.29533799,1122.46708725,1134.70080661,1209.04366114
Mexico,289.01449276,298.55972356,324.86567108,306.29370435,278.09050553,240.81204738
United Kingdom,2949.74939393,2951.39992074,3362.13121005,3668.46846,3496.21964158,3175.3347654
United States,3960.42471415,4089.20576465,4221.90556384,7366.7946741,7805.12263524,8077.92583581
Brazil,464.05188259,438.32888925,434.57935061,440.73990556,332.57741062,337.53355195
India,14.06778515,13.72923326,12.97028516,13.5242691,15.11904478,15.94651501
Indonesia,29.07368702,32.15784318,33.54149092,37.55411585,40.44937393,49.89876877
Russia,429.00153736,484.22173251,506.01268629,458.63224079,294.68088195,267.17024815
South Africa,325.17449134,318.69708776,287.16602620000003,273.84602087,252.13243598,230.05547281
Turkey,420.69631233,415.50686644,432.81197709,409.13653222,355.20290155,367.61714999
China,127.82292467,158.02181989,187.23044615,211.30309571,236.41869552,231.09310258
Argentina,723.03212643,847.33142074,900.04043583,836.35532894,1013.44374143,710.93501083
Saudi Arabia,591.76009272,694.50200771,774.92756928,916.93542498,851.55995105,777.90739143
