Country,2011,2012,2013,2014,2015,2016,total
Australia,82715145309.95993,90734855848.76985,93416894020.24467,89502424919.89192,86020069870.40186,76397511841.78156,518786901811.0498
Canada,134939292488.20465,137625765673.60596,137205260116.42447,132072329305.33954,118694612530.1809,118122210903.42622,778659471017.1818
France,243462347035.865,231127988952.90988,245193412624.91495,252951936619.72614,214757894490.76056,236393215961.35538,1423886795685.532
Germany,333877541834.63715,315721324936.358,341954188506.82184,359212980583.6935,314001336432.7446,326974632228.9499,1991742004523.2048
Italy,155941505799.9514,142308027843.70328,145797953380.7418,147182887135.72757,123051135733.1601,124796302534.6962,839077812427.9803
Japan,547429290095.5401,561804510159.544,468814283885.64264,441954579156.1821,401259557045.4677,449936447603.2368,2871198667945.6133
South Korea,45199404360.364586,46351502059.68485,50635582847.43161,56556134477.42396,57408669043.049385,61409649626.45568,317560942414.41003
Mexico,34418810149.51556,36074350888.924225,39807704863.50404,38053322568.972176,35037198448.30014,30741481351.87435,214132868271.0905
United Kingdom,188711527761.083,190413159131.9403,218481494467.04602,239270340948.94266,230199262909.09647,211012995505.6628,1278088780723.7712
United States,1233852797880.865,1284604447211.871,1339614979342.1548,2353211902077.147,2510671443623.303,2614104628092.788,11336060198228.129
Brazil,92208416390.4364,87905640814.0043,87981542478.90483,90015780951.63277,68511403973.68725,70251582758.7714,496874367367.4369
India,17087800563.50211,17031183879.289177,16061425430.664824,17465850467.790516,19404678524.90676,21305458530.27171,108356397396.4251
Indonesia,7143623293.567192,8003547960.474324,8453537825.286865,9581223485.713985,10442495882.782616,13024040956.372458,56648469404.19744
Russia,61460512351.67087,69447352821.02858,72662015145.39914,65816040871.592354,42252041962.94887,38506211329.25444,350144174481.8942
South Africa,16994837944.831306,16890516574.844862,15447939027.270918,14946816738.290245,13944418155.052757,12913285739.390146,91137814179.68025
Turkey,30882257312.85005,30984309009.513275,32801114050.71325,31516648817.680435,27802345933.7097,29230470162.743866,183217145287.21057
China,175478450271.05402,216344879576.4144,257164620801.80243,291057936359.41925,324086368066.26904,321914615046.5211,1586046870121.48
Argentina,30119553276.233246,33495175151.895508,34461434125.04529,33365737292.96218,40579481875.63309,31322647109.749493,203344028831.5188
Saudi Arabia,16710131006.18941,20200530855.46311,23204797738.0444,28220264730.184353,26872801484.76713,25107519146.41707,140316044961.0655
