Country,2012,2013,2014,2015,2016,Annual Change
Australia,-380617806.90250015,-1391318259.618801,958446125.1874008,-1738139602.980301,2337377938.9944,-42850321.06396027
Canada,-941613752.7482033,-1936375901.0303993,-662010931.4878998,83921616.28490067,-154866351.667099,-722189064.1297401
France,-4565773408.752403,2381945367.4905014,1196469965.2008057,-8271437614.128502,2016282889.801094,-1448502560.0777009
Germany,-1669477045.769394,-540330341.677208,172132447.2521057,-6290096765.5293045,1766918628.949707,-1312170615.3548188
Italy,-4047796765.9944,176437699.39120102,-2256411569.5746,-5520189264.519699,2852182824.252899,-1759155415.28892
Japan,-750683646.1936951,-10987597787.839302,-2142688008.5373993,-4775141092.527901,4365184408.453194,-2858185225.3290205
South Korea,960052863.8428993,2359459904.8475,3241107958.287403,-981559350.8795013,314514107.4489975,1178715096.7094598
Mexico,507388279.46934986,858836810.6620903,825768076.5728998,-923860144.3055696,-1719752186.6925907,-90323832.85876408
United Kingdom,-1774778966.2170029,-1633897132.3090973,2321098965.974701,-5320673060.964798,-5743241975.191002,-2430298433.74144
United States,-26558000000.0,-45076000000.0,-29790000000.0,-13809361000.0,4001804000.0,-22246311400.0
Brazil,-2949204821.7423973,-1112217843.4742012,-215172989.7865982,-8041912557.736603,-392954781.59879684,-2542292598.867719
India,-2416895745.4965973,186608753.21649933,3510579539.6256027,381375412.895401,5342138886.930496,1400761369.4342804
Indonesia,693071769.56598,1852930645.6421108,-1454773299.7083216,709839891.7554007,-253686507.62494946,309476499.9260441
Russia,11231875979.763107,6883496532.3020935,-3656391810.0619965,-18277796469.520905,2826601277.0055084,-198442898.10243836
South Africa,-104563982.00222969,-371381612.51698065,-225739328.2862196,-403601207.3011503,-319111946.51738024,-284879615.3247921
Turkey,653358844.658699,704333672.2720985,-890406332.8418999,-1891240221.1674004,1973053326.5449028,109819857.89328003
China,19423072951.324005,22490074111.94098,20891752482.23999,13320866106.266022,1938210132.5660095,15612795156.867401
Argentina,511287754.2016897,574756442.1975603,-158531576.51169968,503173976.5057297,-972969040.9115906,91543511.09633788
Saudi Arabia,7966933333.333405,10522133333.333298,13742400000.0,6423466666.666702,-23513066666.666702,3028373333.3333406
