Country,2012,2013,2014,2015,2016
Australia,-0.014310447195389486,-0.05307016455205767,0.038607693342956155,-0.067412319238475,0.09720618082284478
Canada,-0.04401355700330342,-0.09467855270479136,-0.03575397179736402,0.004700511432688313,-0.008633595908306414
France,-0.07067659250829726,0.039675843506595046,0.01916894538440062,-0.1300263092528996,0.03643305442133874
Germany,-0.03467937222810982,-0.011627291056882342,0.003747668656663162,-0.1364367043123584,0.04438091667522635
Italy,-0.11965532833483317,0.005924503904499593,-0.07532055892770192,-0.1992773698546162,0.12858765368034603
Japan,-0.012354448574888956,-0.18309144513049197,-0.04370697949635824,-0.10185610799825415,0.10367106109894163
South Korea,0.030977733318245913,0.07384444065084197,0.09446204159255531,-0.026138441624084286,0.00860015015475363
Mexico,0.0784048561163687,0.1230640906352552,0.10535963191533713,-0.10663966870023608,-0.22220394312060654
United Kingdom,-0.0294469244496513,-0.027931939291040576,0.04082003411046454,-0.08990226546909705,-0.10662846155595165
United States,-0.037335275213752114,-0.06582552060515787,-0.04656841289096207,-0.022641488800060335,0.0067132576030833405
Brazil,-0.07984589729325009,-0.032724797052594304,-0.0065452283623112905,-0.2462341563021198,-0.015962285458561317
India,-0.04869453832729986,0.003952158527620632,0.07405734611724199,0.007490564507989759,0.1041444294112889
Indonesia,0.11871679699922975,0.2837089044336285,-0.17351721576280912,0.10244100713546087,-0.033208973211687275
Russia,0.15991275528903523,0.08449180352513035,-0.04138394955246358,-0.2158034330259232,0.04255730582979644
South Africa,-0.02276022532726344,-0.08272060579705681,-0.05481493450238104,-0.10368770855077408,-0.09146575659733668
Turkey,0.03775575362110671,0.039220639459255885,-0.04771079965308283,-0.1064158434860831,0.12424043391519046
China,0.1407802598640847,0.1428935777745631,0.11614242862161123,0.06634815901549196,0.009053119435638971
Argentina,0.12618375465681106,0.12595419723225515,-0.030854879223855505,0.10105025890431919,-0.1774643557957512
Saudi Arabia,0.16416196405316905,0.1862394804287588,0.20504923903312444,0.07953536133976581,-0.2696889709952992
