Country,2011,2012,2013,2014,2015,2016
Australia,0.0176938986414435,0.0167991735762004,0.016495330759766696,0.0178129495506829,0.0195845125365234,0.0209284952414869
Canada,0.011960844580068799,0.011210999732281202,0.0100485841865034,0.009922705600439759,0.0115012649687129,0.0115845887951202
France,0.022576612842498102,0.022369260112485398,0.0222039695086268,0.022303600626115,0.0226989054016681,0.0232732364460048
Germany,0.0128111219627689,0.0131126144743425,0.012239937160326099,0.011825058956846698,0.011774564919346898,0.0118990426457789
Italy,0.0148613565534828,0.014367372998236498,0.014061281724513,0.0128738252755904,0.0121061949945203,0.0133960598612479
Japan,0.00986806292524448,0.0096742708258411,0.009508658607452349,0.00966999334469794,0.009580504310453401,0.00939582602953803
South Korea,0.0257734596651412,0.026129823173389,0.026279870500825,0.026607664880333105,0.0264475851305641,0.026078812951261604
Mexico,0.00548195293608094,0.005810369576283979,0.00614983409113092,0.00659120390949835,0.0066170956123721494,0.00559230190654417
United Kingdom,0.0228739421092508,0.0218544195437133,0.0206502466578136,0.0194880699671148,0.0185961202401681,0.0181078016820308
United States,0.0457670425313993,0.0422781807423097,0.038111986758535596,0.0348089719592458,0.0327183126417642,0.032078921692603304
Brazil,0.0141185115924524,0.013786564647043703,0.013294461087606999,0.01330244423168,0.013655171539616102,0.013501505728869599
India,0.0265149668110065,0.0253734660363375,0.0247272671433353,0.0249676988106994,0.024051274700263997,0.025064707505609598
Indonesia,0.0065377670260680695,0.00711549473406383,0.00918769839183066,0.007778551782328309,0.00886971132633338,0.00790694800528013
Russia,0.0342344793265044,0.0368596867256715,0.0384623273201621,0.0410418221281141,0.0486275810199369,0.05452406510201079
South Africa,0.0110325767555138,0.011327931119157,0.0112327426203249,0.011094378828450702,0.0109918207478519,0.010755295517852901
Turkey,0.020785432760940095,0.020547603210158402,0.019632531204820503,0.019024577741002,0.018470557437933098,0.020675426093278403
China,0.0183415827484875,0.0183645175975595,0.0186694378614298,0.019058481051586796,0.0190708648617996,0.0192494712446006
Argentina,0.00764287094036749,0.007848247210197858,0.008377364301594359,0.00878100919364039,0.00850128583186764,0.00813140077928875
Saudi Arabia,0.0723005332410004,0.07676602967786651,0.0897612773321565,0.10677906298680499,0.13325672334973399,0.09872738329865632
