Country,2011,2012,2013,2014,2015,2016
Australia,1106.1842136046932,1142.547877872282,1124.1585569601036,1113.5015694945323,1111.5331433964188,1045.8205868913121
Canada,623.181485332854,589.052234392759,527.5974530261153,504.42581146958565,500.2481453333528,489.7952653348155
France,988.6464035418282,914.3368747317967,945.7322099135474,959.247694671082,831.0835404628849,860.2305389277052
Germany,597.5719146203371,575.0978062173722,566.5348436202898,567.129748032182,484.40023827479587,500.9368497205264
Italy,573.6344260887682,503.6270864547154,499.8782095179794,457.2578725308809,365.97301434205724,414.4221883359862
Japan,475.32482802852775,470.2031961873665,384.6675300301973,368.51776149878015,330.76183231879384,364.5047844497463
South Korea,620.6194582655058,636.4906709733443,680.3863379086665,739.9955166035137,716.8638109645462,719.9903206055191
Mexico,55.93467291036133,59.50822428807034,65.9580979940774,71.99160771428815,63.56350515466575,48.875354380933324
United Kingdom,961.5862263171565,927.9979865414147,897.1409799439352,924.0781894995795,836.1950381339103,743.7628753544988
United States,2283.0025992922115,2181.7019841544948,2024.0098419530088,1915.640691783831,1858.5137702168222,1857.5043603816619
Brazil,187.00833362395565,170.54013832865107,163.5261598413201,161.12705699291647,120.35669542527178,117.637094345347
India,38.661566621751355,36.63622819955079,35.84479264695732,39.29619905874963,38.61685728338764,43.343597133024
Indonesia,23.817372520350748,26.287120471287594,33.29540661730591,27.159784240147633,29.55117400904176,28.1712361468436
Russia,491.3062723651759,568.9135911608541,615.6699347711345,578.7196157165401,452.90695828485406,476.83340219290125
South Africa,88.34239684038192,84.97613527063768,76.74722972069769,71.37221672129056,63.034064906256596,56.71179589976272
Turkey,235.61349150990006,240.5561272448157,245.78734283435972,230.11852564785062,202.22904672244678,223.72121528985184
China,103.0454419820553,116.00716762847205,131.631595884323,145.82341477377324,153.20365775248635,155.51244492758437
Argentina,98.2022107877541,102.67598379512549,109.57805905043814,108.3119767944628,117.22474402388099,104.00258761423403
Saudi Arabia,1716.8341189518192,1937.8324230105886,2230.0959897272605,2612.2326568358476,2748.8107320168774,1962.6310269935805
