Country,2011,2012,2013,2014,2015,2016,total
Australia,26597198655.3381,26216580848.4356,24825262588.8168,25783708714.0042,24045569111.0239,26382947050.0183,153851266967.6369
Canada,21393720863.7223,20452107110.9741,18515731209.9437,17853720278.4558,17937641894.7407,17782775543.0736,113935696900.91019
France,64600927219.5231,60035153810.7707,62417099178.2612,63613569143.462006,55342131529.3335,57358414419.1346,363367295300.4851
Germany,48140347950.5946,46470870904.8252,45930540563.147995,46102673010.4001,39812576244.8708,41579494873.8205,268036503547.65918
Italy,33828804971.12,29781008205.1256,29957445904.5168,27701034334.9422,22180845070.4225,25033027894.6754,168482166380.8025
Japan,60762213840.8911,60011530194.6974,49023932406.8581,46881244398.3207,42106103305.7928,46471287714.245995,305256311860.8061
South Korea,30991707946.4761,31951760810.319,34311220715.1665,37552328673.4539,36570769322.5744,36885283430.0234,208263070898.01334
Mexico,6471388439.46455,6978776718.9339,7837613529.59599,8663381606.16889,7739521461.86332,6019769275.17073,43710451031.19738
United Kingdom,60270435686.808,58495656720.590996,56861759588.2819,59182858554.2566,53862185493.2918,48118943518.1008,336791839561.3301
United States,711338000000.0,684780000000.0,639704000000.0,609914000000.0,596104639000.0,600106443000.0,3841947082000.0
Brazil,36936209895.8053,33987005074.0629,32874787230.5887,32659614240.8021,24617701683.0655,24224746901.4667,185300065025.7912
India,49633815793.7027,47216920048.2061,47403528801.4226,50914108341.0482,51295483753.9436,56637622640.8741,303101479379.19727
Indonesia,5838026185.71723,6531097955.28321,8384028600.925321,6929255301.216999,7639095192.9724,7385408685.34745,42706911921.46261
Russia,70237523951.4946,81469399931.2577,88352896463.5598,84696504653.4978,66418708183.9769,69245309460.9824,460420342644.7693
South Africa,4594154077.94655,4489590095.944321,4118208483.42734,3892469155.1411204,3488867947.83997,3169756001.32259,23753045761.62189
Turkey,17304881560.9775,17958240405.6362,18662574077.9083,17772167745.0664,15880927523.898998,17853980850.4439,105432772163.9313
China,137967304294.479,157390377245.803,179880451357.744,200772203839.98398,214093069946.25,216031280078.816,1106134686763.076
Argentina,4051930104.57065,4563217858.77234,5137974300.9699,4979442724.4582,5482616700.96393,4509647660.05234,28724829349.78736
Saudi Arabia,48530933333.3333,56497866666.6667,67020000000.0,80762400000.0,87185866666.6667,63672800000.0,403669866666.6667
