Country,Year,Military,Health,Education
Australia,2011,1106.18,4067.59,3177.86
Canada,2011,623.18,3905.83,2748.08
France,2011,988.65,3748.47,2416.5
Germany,2011,597.57,4176.69,2242.59
Italy,2011,573.63,2608.85,1599.57
Japan,2011,475.32,4259.97,1754.56
South Korea,2011,620.62,908.63,
Mexico,2011,55.93,289.01,520.95
United Kingdom,2011,961.59,2949.75,2373.58
United States,2011,2283.0,3960.42,
Brazil,2011,187.01,464.05,759.96
India,2011,38.66,14.07,55.35
Indonesia,2011,23.82,29.07,116.19
Russia,2011,491.31,429.0,
South Africa,2011,88.34,325.17,477.46
Turkey,2011,235.61,420.7,
China,2011,103.05,127.82,
Argentina,2011,98.2,723.03,679.79
Saudi Arabia,2011,1716.83,591.76,
Australia,2012,1142.55,4083.9,3317.39
Canada,2012,589.05,3944.05,
France,2012,914.34,3537.55,2230.3
Germany,2012,575.1,3948.95,2163.67
Italy,2012,503.63,2379.63,1431.55
Japan,2012,470.2,4374.53,1794.57
South Korea,2012,636.49,927.92,
Mexico,2012,59.51,298.56,522.65
United Kingdom,2012,928.0,2951.4,
United States,2012,2181.7,4089.21,
Brazil,2012,170.54,438.33,724.28
India,2012,36.64,13.73,55.84
Indonesia,2012,26.29,32.16,125.88
Russia,2012,568.91,484.22,584.93
South Africa,2012,84.98,318.7,477.97
Turkey,2012,240.56,415.51,
China,2012,116.01,158.02,
Argentina,2012,102.68,847.33,699.38
Saudi Arabia,2012,1937.83,694.5,
Australia,2013,1124.16,3943.95,3569.71
Canada,2013,527.6,3893.03,
France,2013,945.73,3734.27,2342.73
Germany,2013,566.53,4269.12,2284.19
Italy,2013,499.88,2430.43,1480.56
Japan,2013,384.67,3653.68,1482.81
South Korea,2013,680.39,1009.3,
Mexico,2013,65.96,324.87,503.66
United Kingdom,2013,897.14,3362.13,2427.78
United States,2013,2024.01,4221.91,2618.73
Brazil,2013,163.53,434.58,718.2
India,2013,35.84,12.97,55.73
Indonesia,2013,33.3,33.54,121.73
Russia,2013,615.67,506.01,601.26
South Africa,2013,76.75,287.17,410.87
Turkey,2013,245.79,432.81,
China,2013,131.63,187.23,
Argentina,2013,109.58,900.04,711.12
Saudi Arabia,2013,2230.1,774.93,
Australia,2014,1113.5,3797.34,3234.11
Canada,2014,504.43,3704.85,
France,2014,959.25,3832.11,2370.66
Germany,2014,567.13,4455.15,2360.04
Italy,2014,457.26,2413.16,1447.46
Japan,2014,368.52,3448.38,1368.35
South Korea,2014,740.0,1122.47,
Mexico,2014,71.99,306.29,574.58
United Kingdom,2014,924.08,3668.47,2686.2
United States,2014,1915.64,7366.79,2730.59
Brazil,2014,161.13,440.74,720.52
India,2014,39.3,13.52,
Indonesia,2014,27.16,37.55,114.8
Russia,2014,578.72,458.63,564.77
South Africa,2014,71.37,273.85,388.99
Turkey,2014,230.12,409.14,
China,2014,145.82,211.3,
Argentina,2014,108.31,836.36,661.32
Saudi Arabia,2014,2612.23,916.94,
Australia,2015,1111.53,3333.88,3020.4
Canada,2015,500.25,3315.98,
France,2015,831.08,3225.41,2000.64
Germany,2015,484.4,3884.46,1976.83
Italy,2015,365.97,2020.67,1233.9
Japan,2015,330.76,3139.38,
South Korea,2015,716.86,1134.7,
Mexico,2015,63.56,278.09,502.89
United Kingdom,2015,836.2,3496.22,2522.32
United States,2015,1858.51,7805.12,
Brazil,2015,120.36,332.58,550.09
India,2015,38.62,15.12,
Indonesia,2015,29.55,40.45,119.39
Russia,2015,452.91,294.68,357.03
South Africa,2015,63.03,252.13,341.57
Turkey,2015,202.23,355.2,
China,2015,153.2,236.42,
Argentina,2015,117.22,1013.44,796.47
Saudi Arabia,2015,2748.81,851.56,
Australia,2016,1045.82,3416.98,2638.63
Canada,2016,489.8,3274.29,
France,2016,860.23,3534.15,2008.01
Germany,2016,500.94,3991.6,2021.14
Italy,2016,414.42,2039.36,1184.68
Japan,2016,364.5,3538.21,
South Korea,2016,719.99,1209.04,
Mexico,2016,48.88,240.81,429.13
United Kingdom,2016,743.76,3175.33,2253.73
United States,2016,1857.5,8077.93,
Brazil,2016,117.64,337.53,
India,2016,43.34,15.95,
Indonesia,2016,28.17,49.9,
Russia,2016,476.83,267.17,327.36
South Africa,2016,56.71,230.06,313.24
Turkey,2016,223.72,367.62,
China,2016,155.51,231.09,
Argentina,2016,104.0,710.94,712.7
Saudi Arabia,2016,1962.63,777.91,
