Country,Year,Amount,Field
Australia,2011,1106.1842136046932,Military
Canada,2011,623.181485332854,Military
France,2011,988.6464035418284,Military
Germany,2011,597.5719146203371,Military
Italy,2011,573.6344260887682,Military
Japan,2011,475.32482802852775,Military
South Korea,2011,620.6194582655057,Military
Mexico,2011,55.93467291036133,Military
United Kingdom,2011,961.5862263171564,Military
United States,2011,2283.0025992922115,Military
Brazil,2011,187.00833362395562,Military
India,2011,38.66156662175136,Military
Indonesia,2011,23.81737252035075,Military
Russia,2011,491.30627236517586,Military
South Africa,2011,88.34239684038192,Military
Turkey,2011,235.6134915099001,Military
China,2011,103.04544198205531,Military
Argentina,2011,98.2022107877541,Military
Saudi Arabia,2011,1716.8341189518192,Military
Australia,2012,1142.547877872282,Military
Canada,2012,589.052234392759,Military
France,2012,914.3368747317967,Military
Germany,2012,575.0978062173723,Military
Italy,2012,503.62708645471537,Military
Japan,2012,470.2031961873665,Military
South Korea,2012,636.4906709733443,Military
Mexico,2012,59.508224288070345,Military
United Kingdom,2012,927.9979865414148,Military
United States,2012,2181.7019841544948,Military
Brazil,2012,170.5401383286511,Military
India,2012,36.63622819955079,Military
Indonesia,2012,26.287120471287594,Military
Russia,2012,568.9135911608541,Military
South Africa,2012,84.97613527063768,Military
Turkey,2012,240.55612724481568,Military
China,2012,116.00716762847205,Military
Argentina,2012,102.67598379512549,Military
Saudi Arabia,2012,1937.8324230105886,Military
Australia,2013,1124.1585569601036,Military
Canada,2013,527.5974530261153,Military
France,2013,945.7322099135473,Military
Germany,2013,566.5348436202897,Military
Italy,2013,499.87820951797937,Military
Japan,2013,384.66753003019727,Military
South Korea,2013,680.3863379086665,Military
Mexico,2013,65.95809799407739,Military
United Kingdom,2013,897.1409799439352,Military
United States,2013,2024.0098419530086,Military
Brazil,2013,163.5261598413201,Military
India,2013,35.84479264695732,Military
Indonesia,2013,33.29540661730591,Military
Russia,2013,615.6699347711345,Military
South Africa,2013,76.74722972069769,Military
Turkey,2013,245.7873428343597,Military
China,2013,131.63159588432302,Military
Argentina,2013,109.57805905043814,Military
Saudi Arabia,2013,2230.0959897272605,Military
Australia,2014,1113.5015694945323,Military
Canada,2014,504.4258114695857,Military
France,2014,959.247694671082,Military
