Country,Year,Military,Health,Education,Average
Australia,2011,1.77,5.92,5.08,4.26
Canada,2011,1.2,7.54,5.27,4.67
France,2011,2.26,8.51,5.52,5.43
Germany,2011,1.28,8.92,4.81,5.0
Italy,2011,1.49,6.8,4.14,4.14
Japan,2011,0.99,8.89,3.64,4.51
South Korea,2011,2.58,3.76,,3.17
Mexico,2011,0.55,2.92,5.11,2.86
United Kingdom,2011,2.29,7.1,5.65,5.01
United States,2011,4.58,7.94,,6.26
Brazil,2011,1.41,3.52,5.74,3.56
India,2011,2.65,0.94,3.8,2.46
Indonesia,2011,0.65,0.8,3.19,1.55
Russia,2011,3.42,3.0,,3.21
South Africa,2011,1.1,4.08,5.96,3.72
Turkey,2011,2.08,3.71,,2.89
China,2011,1.83,2.32,,2.08
Argentina,2011,0.76,5.68,5.29,3.91
Saudi Arabia,2011,7.23,2.49,,4.86
Australia,2012,1.68,5.87,4.88,4.14
Canada,2012,1.12,7.55,,4.33
France,2012,2.24,8.61,5.46,5.44
Germany,2012,1.31,8.95,4.93,5.07
Italy,2012,1.44,6.82,4.08,4.11
Japan,2012,0.97,9.06,3.69,4.57
South Korea,2012,2.61,3.79,,3.2
Mexico,2012,0.58,3.0,5.1,2.9
United Kingdom,2012,2.19,7.04,,4.61
United States,2012,4.23,7.93,,6.08
Brazil,2012,1.38,3.57,5.86,3.6
India,2012,2.54,0.93,3.87,2.45
Indonesia,2012,0.71,0.87,3.41,1.66
Russia,2012,3.69,3.14,3.79,3.54
South Africa,2012,1.13,4.26,6.37,3.92
Turkey,2012,2.05,3.55,,2.8
China,2012,1.84,2.54,,2.19
Argentina,2012,0.78,6.13,5.35,4.09
Saudi Arabia,2012,7.68,2.74,,5.21
Australia,2013,1.65,5.93,5.24,4.27
Canada,2013,1.0,7.45,,4.23
France,2013,2.22,8.72,5.5,5.48
Germany,2013,1.22,9.16,4.93,5.11
Italy,2013,1.41,6.81,4.16,4.13
Japan,2013,0.95,9.09,3.67,4.57
South Korea,2013,2.63,3.88,,3.25
Mexico,2013,0.61,3.12,4.7,2.81
United Kingdom,2013,2.07,7.84,5.59,5.17
United States,2013,3.81,7.98,4.93,5.57
Brazil,2013,1.33,3.56,5.84,3.58
India,2013,2.47,0.87,3.84,2.39
Indonesia,2013,0.92,0.93,3.36,1.73
Russia,2013,3.85,3.16,3.76,3.59
South Africa,2013,1.12,4.21,6.01,3.78
Turkey,2013,1.96,3.45,,2.71
China,2013,1.87,2.69,,2.28
Argentina,2013,0.84,6.24,5.44,4.17
Saudi Arabia,2013,8.98,3.11,,6.04
Australia,2014,1.78,6.1,5.17,4.35
Canada,2014,0.99,7.33,,4.16
France,2014,2.23,8.87,5.51,5.54
Germany,2014,1.18,9.25,4.92,5.12
Italy,2014,1.29,6.82,4.08,4.06
Japan,2014,0.97,9.11,3.59,4.56
South Korea,2014,2.66,4.01,,3.33
Mexico,2014,0.66,2.89,5.26,2.94
United Kingdom,2014,1.95,7.81,5.66,5.14
United States,2014,3.48,13.43,4.96,7.29
Brazil,2014,1.33,3.67,5.95,3.65
India,2014,2.5,0.86,,1.68
Indonesia,2014,0.78,1.08,3.29,1.71
Russia,2014,4.1,3.19,4.01,3.77
South Africa,2014,1.11,4.26,6.05,3.81
Turkey,2014,1.9,3.37,,2.64
China,2014,1.91,2.79,,2.35
Argentina,2014,0.88,6.34,5.36,4.19
Saudi Arabia,2014,10.68,3.73,,7.2
Australia,2015,1.96,6.36,5.32,4.55
Canada,2015,1.15,7.64,,4.4
France,2015,2.27,8.81,5.46,5.51
Germany,2015,1.18,9.34,4.81,5.11
Italy,2015,1.21,6.7,4.08,4.0
Japan,2015,0.96,9.14,,5.05
South Korea,2015,2.64,4.15,,3.4
Mexico,2015,0.66,2.99,5.24,2.96
United Kingdom,2015,1.86,7.86,5.61,5.11
United States,2015,3.27,13.78,,8.53
Brazil,2015,1.37,3.8,6.24,3.8
India,2015,2.41,0.92,,1.66
Indonesia,2015,0.89,1.21,3.58,1.89
Russia,2015,4.86,3.1,3.83,3.93
South Africa,2015,1.1,4.39,5.96,3.82
Turkey,2015,1.85,3.23,,2.54
China,2015,1.91,2.94,,2.42
Argentina,2015,0.85,6.82,5.78,4.48
Saudi Arabia,2015,13.33,4.11,,8.72
Australia,2016,2.09,6.32,5.28,4.56
Canada,2016,1.16,7.74,,4.45
France,2016,2.33,9.57,5.43,5.78
Germany,2016,1.19,9.43,4.8,5.14
Italy,2016,1.34,6.65,3.83,3.94
Japan,2016,0.94,9.13,,5.04
South Korea,2016,2.61,4.34,,3.47
Mexico,2016,0.56,2.85,4.91,2.77
United Kingdom,2016,1.81,7.83,5.49,5.04
United States,2016,3.21,13.97,,8.59
Brazil,2016,1.35,3.91,,2.63
India,2016,2.51,0.93,,1.72
Indonesia,2016,0.79,1.4,,1.09
Russia,2016,5.45,3.0,3.74,4.07
South Africa,2016,1.08,4.36,5.94,3.79
Turkey,2016,2.07,3.38,,2.73
China,2016,1.92,2.89,,2.41
Argentina,2016,0.81,5.62,5.57,4.0
Saudi Arabia,2016,9.87,3.89,,6.88
