Country,Year,Military,Health,Education
Australia,2011,2.66,8.27,7.1
Canada,2011,2.14,13.49,9.44
France,2011,6.46,24.35,15.79
Germany,2011,4.81,33.39,18.0
Italy,2011,3.38,15.59,9.5
Japan,2011,6.08,54.74,22.43
South Korea,2011,3.1,4.52,
Mexico,2011,0.65,3.44,6.03
United Kingdom,2011,6.03,18.87,15.01
United States,2011,71.13,123.39,
Brazil,2011,3.69,9.22,15.01
India,2011,4.96,1.71,6.92
Indonesia,2011,0.58,0.71,2.85
Russia,2011,7.02,6.15,
South Africa,2011,0.46,1.7,2.48
Turkey,2011,1.73,3.09,
China,2011,13.8,17.55,
Argentina,2011,0.41,3.01,2.8
Saudi Arabia,2011,4.85,1.67,
Australia,2012,2.62,9.07,7.54
Canada,2012,2.05,13.76,
France,2012,6.0,23.11,14.64
Germany,2012,4.65,31.57,17.4
Italy,2012,2.98,14.23,8.52
Japan,2012,6.0,56.18,22.9
South Korea,2012,3.2,4.64,
Mexico,2012,0.7,3.61,6.13
United Kingdom,2012,5.85,19.04,
United States,2012,68.48,128.46,
Brazil,2012,3.4,8.79,14.43
India,2012,4.72,1.7,7.07
Indonesia,2012,0.65,0.8,3.13
Russia,2012,8.15,6.94,8.38
South Africa,2012,0.45,1.69,2.53
Turkey,2012,1.8,3.1,
China,2012,15.74,21.63,
Argentina,2012,0.46,3.35,2.92
Saudi Arabia,2012,5.65,2.02,
Australia,2013,2.48,9.34,8.26
Canada,2013,1.85,13.72,
France,2013,6.24,24.52,15.46
Germany,2013,4.59,34.2,18.42
Italy,2013,3.0,14.58,8.92
Japan,2013,4.9,46.88,18.9
South Korea,2013,3.43,5.06,
Mexico,2013,0.78,3.98,5.98
United Kingdom,2013,5.69,21.85,15.57
United States,2013,63.97,133.96,82.77
Brazil,2013,3.29,8.8,14.44
India,2013,4.74,1.61,7.14
Indonesia,2013,0.84,0.85,3.07
Russia,2013,8.84,7.27,8.63
South Africa,2013,0.41,1.54,2.21
Turkey,2013,1.87,3.28,
China,2013,17.99,25.72,
Argentina,2013,0.51,3.45,3.0
Saudi Arabia,2013,6.7,2.32,
Australia,2014,2.58,8.95,7.59
Canada,2014,1.79,13.21,
France,2014,6.36,25.3,15.72
Germany,2014,4.61,35.92,19.11
Italy,2014,2.77,14.72,8.8
Japan,2014,4.69,44.2,17.42
South Korea,2014,3.76,5.66,
Mexico,2014,0.87,3.81,6.92
United Kingdom,2014,5.92,23.93,17.36
United States,2014,60.99,235.32,86.94
Brazil,2014,3.27,9.0,14.61
India,2014,5.09,1.75,
Indonesia,2014,0.69,0.96,2.93
Russia,2014,8.47,6.58,8.25
South Africa,2014,0.39,1.49,2.12
Turkey,2014,1.78,3.15,
China,2014,20.08,29.11,
Argentina,2014,0.5,3.34,2.82
Saudi Arabia,2014,8.08,2.82,
Australia,2015,2.4,8.6,7.19
Canada,2015,1.79,11.87,
France,2015,5.53,21.48,13.32
Germany,2015,3.98,31.4,16.15
Italy,2015,2.22,12.31,7.49
Japan,2015,4.21,40.13,
South Korea,2015,3.66,5.74,
Mexico,2015,0.77,3.5,6.13
United Kingdom,2015,5.39,23.02,16.43
United States,2015,59.61,251.07,
Brazil,2015,2.46,6.85,11.25
India,2015,5.13,1.94,
Indonesia,2015,0.76,1.04,3.08
Russia,2015,6.64,4.23,5.23
South Africa,2015,0.35,1.39,1.89
Turkey,2015,1.59,2.78,
China,2015,21.41,32.41,
Argentina,2015,0.55,4.06,3.44
Saudi Arabia,2015,8.72,2.69,
Australia,2016,2.64,7.64,6.38
Canada,2016,1.78,11.81,
France,2016,5.74,23.64,13.43
Germany,2016,4.16,32.7,16.64
Italy,2016,2.5,12.48,7.18
Japan,2016,4.65,44.99,
South Korea,2016,3.69,6.14,
Mexico,2016,0.6,3.07,5.29
United Kingdom,2016,4.81,21.1,14.78
United States,2016,60.01,261.41,
Brazil,2016,2.42,7.03,
India,2016,5.66,2.13,
Indonesia,2016,0.74,1.3,
Russia,2016,6.92,3.85,4.8
South Africa,2016,0.32,1.29,1.76
Turkey,2016,1.79,2.92,
China,2016,21.6,32.19,
Argentina,2016,0.45,3.13,3.11
Saudi Arabia,2016,6.37,2.51,
Australia,total,15.39,51.88,44.07
Canada,total,11.39,77.87,9.44
France,total,36.34,142.39,88.37
Germany,total,26.8,199.17,105.73
Italy,total,16.85,83.91,50.41
Japan,total,30.53,287.12,81.65
South Korea,total,20.83,31.76,0.0
Mexico,total,4.37,21.41,36.48
United Kingdom,total,33.68,127.81,79.15
United States,total,384.19,1133.61,169.71
Brazil,total,18.53,49.69,69.74
India,total,30.31,10.84,21.13
Indonesia,total,4.27,5.66,15.05
Russia,total,46.04,35.01,35.28
South Africa,total,2.38,9.11,12.99
Turkey,total,10.54,18.32,0.0
China,total,110.61,158.6,0.0
Argentina,total,2.87,20.33,18.09
Saudi Arabia,total,40.37,14.03,0.0
