Field,Year,Australia,Canada,France,Germany,Italy,Japan,South Korea,Mexico,United Kingdom,United States,Brazil,India,Indonesia,Russia,South Africa,Turkey,China,Argentina,Saudi Arabia
Military,2011,2.66,2.14,6.46,4.81,3.38,6.08,3.1,0.65,6.03,71.13,3.69,4.96,0.58,7.02,0.46,1.73,13.8,0.41,4.85
Military,2012,2.62,2.05,6.0,4.65,2.98,6.0,3.2,0.7,5.85,68.48,3.4,4.72,0.65,8.15,0.45,1.8,15.74,0.46,5.65
Military,2013,2.48,1.85,6.24,4.59,3.0,4.9,3.43,0.78,5.69,63.97,3.29,4.74,0.84,8.84,0.41,1.87,17.99,0.51,6.7
Military,2014,2.58,1.79,6.36,4.61,2.77,4.69,3.76,0.87,5.92,60.99,3.27,5.09,0.69,8.47,0.39,1.78,20.08,0.5,8.08
Military,2015,2.4,1.79,5.53,3.98,2.22,4.21,3.66,0.77,5.39,59.61,2.46,5.13,0.76,6.64,0.35,1.59,21.41,0.55,8.72
Military,2016,2.64,1.78,5.74,4.16,2.5,4.65,3.69,0.6,4.81,60.01,2.42,5.66,0.74,6.92,0.32,1.79,21.6,0.45,6.37
Health,2011,8.27,13.49,24.35,33.39,15.59,54.74,4.52,3.44,18.87,123.39,9.22,1.71,0.71,6.15,1.7,3.09,17.55,3.01,1.67
Health,2012,9.07,13.76,23.11,31.57,14.23,56.18,4.64,3.61,19.04,128.46,8.79,1.7,0.8,6.94,1.69,3.1,21.63,3.35,2.02
Health,2013,9.34,13.72,24.52,34.2,14.58,46.88,5.06,3.98,21.85,133.96,8.8,1.61,0.85,7.27,1.54,3.28,25.72,3.45,2.32
Health,2014,8.95,13.21,25.3,35.92,14.72,44.2,5.66,3.81,23.93,235.32,9.0,1.75,0.96,6.58,1.49,3.15,29.11,3.34,2.82
Health,2015,8.6,11.87,21.48,31.4,12.31,40.13,5.74,3.5,23.02,251.07,6.85,1.94,1.04,4.23,1.39,2.78,32.41,4.06,2.69
Health,2016,7.64,11.81,23.64,32.7,12.48,44.99,6.14,3.07,21.1,261.41,7.03,2.13,1.3,3.85,1.29,2.92,32.19,3.13,2.51
Education,2011,7.1,9.44,15.79,18.0,9.5,22.43,,6.03,15.01,,15.01,6.92,2.85,,2.48,,,2.8,
Education,2012,7.54,,14.64,17.4,8.52,22.9,,6.13,,,14.43,7.07,3.13,8.38,2.53,,,2.92,
Education,2013,8.26,,15.46,18.42,8.92,18.9,,5.98,15.57,82.77,14.44,7.14,3.07,8.63,2.21,,,3.0,
Education,2014,7.59,,15.72,19.11,8.8,17.42,,6.92,17.36,86.94,14.61,,2.93,8.25,2.12,,,2.82,
Education,2015,7.19,,13.32,16.15,7.49,,,6.13,16.43,,11.25,,3.08,5.23,1.89,,,3.44,
Education,2016,6.38,,13.43,16.64,7.18,,,5.29,14.78,,,,,4.8,1.76,,,3.11,
