Country,Field,2011,2012,2013,2014,2015,2016,total
Australia,Military,2.66,2.62,2.48,2.58,2.4,2.64,15.39
Canada,Military,2.14,2.05,1.85,1.79,1.79,1.78,11.39
France,Military,6.46,6.0,6.24,6.36,5.53,5.74,36.34
Germany,Military,4.81,4.65,4.59,4.61,3.98,4.16,26.8
Italy,Military,3.38,2.98,3.0,2.77,2.22,2.5,16.85
Japan,Military,6.08,6.0,4.9,4.69,4.21,4.65,30.53
South Korea,Military,3.1,3.2,3.43,3.76,3.66,3.69,20.83
Mexico,Military,0.65,0.7,0.78,0.87,0.77,0.6,4.37
United Kingdom,Military,6.03,5.85,5.69,5.92,5.39,4.81,33.68
United States,Military,71.13,68.48,63.97,60.99,59.61,60.01,384.19
Brazil,Military,3.69,3.4,3.29,3.27,2.46,2.42,18.53
India,Military,4.96,4.72,4.74,5.09,5.13,5.66,30.31
Indonesia,Military,0.58,0.65,0.84,0.69,0.76,0.74,4.27
Russia,Military,7.02,8.15,8.84,8.47,6.64,6.92,46.04
South Africa,Military,0.46,0.45,0.41,0.39,0.35,0.32,2.38
Turkey,Military,1.73,1.8,1.87,1.78,1.59,1.79,10.54
China,Military,13.8,15.74,17.99,20.08,21.41,21.6,110.61
Argentina,Military,0.41,0.46,0.51,0.5,0.55,0.45,2.87
Saudi Arabia,Military,4.85,5.65,6.7,8.08,8.72,6.37,40.37
Australia,Health,8.27,9.07,9.34,8.95,8.6,7.64,51.88
Canada,Health,13.49,13.76,13.72,13.21,11.87,11.81,77.87
France,Health,24.35,23.11,24.52,25.3,21.48,23.64,142.39
Germany,Health,33.39,31.57,34.2,35.92,31.4,32.7,199.17
Italy,Health,15.59,14.23,14.58,14.72,12.31,12.48,83.91
Japan,Health,54.74,56.18,46.88,44.2,40.13,44.99,287.12
South Korea,Health,4.52,4.64,5.06,5.66,5.74,6.14,31.76
Mexico,Health,3.44,3.61,3.98,3.81,3.5,3.07,21.41
United Kingdom,Health,18.87,19.04,21.85,23.93,23.02,21.1,127.81
United States,Health,123.39,128.46,133.96,235.32,251.07,261.41,1133.61
Brazil,Health,9.22,8.79,8.8,9.0,6.85,7.03,49.69
India,Health,1.71,1.7,1.61,1.75,1.94,2.13,10.84
Indonesia,Health,0.71,0.8,0.85,0.96,1.04,1.3,5.66
Russia,Health,6.15,6.94,7.27,6.58,4.23,3.85,35.01
South Africa,Health,1.7,1.69,1.54,1.49,1.39,1.29,9.11
Turkey,Health,3.09,3.1,3.28,3.15,2.78,2.92,18.32
China,Health,17.55,21.63,25.72,29.11,32.41,32.19,158.6
Argentina,Health,3.01,3.35,3.45,3.34,4.06,3.13,20.33
Saudi Arabia,Health,1.67,2.02,2.32,2.82,2.69,2.51,14.03
Australia,Education,7.1,7.54,8.26,7.59,7.19,6.38,44.07
Canada,Education,9.44,,,,,,9.44
France,Education,15.79,14.64,15.46,15.72,13.32,13.43,88.37
Germany,Education,18.0,17.4,18.42,19.11,16.15,16.64,105.73
Italy,Education,9.5,8.52,8.92,8.8,7.49,7.18,50.41
Japan,Education,22.43,22.9,18.9,17.42,,,81.65
South Korea,Education,,,,,,,0.0
Mexico,Education,6.03,6.13,5.98,6.92,6.13,5.29,36.48
United Kingdom,Education,15.01,,15.57,17.36,16.43,14.78,79.15
United States,Education,,,82.77,86.94,,,169.71
Brazil,Education,15.01,14.43,14.44,14.61,11.25,,69.74
India,Education,6.92,7.07,7.14,,,,21.13
Indonesia,Education,2.85,3.13,3.07,2.93,3.08,,15.05
Russia,Education,,8.38,8.63,8.25,5.23,4.8,35.28
South Africa,Education,2.48,2.53,2.21,2.12,1.89,1.76,12.99
Turkey,Education,,,,,,,0.0
China,Education,,,,,,,0.0
Argentina,Education,2.8,2.92,3.0,2.82,3.44,3.11,18.09
Saudi Arabia,Education,,,,,,,0.0
