"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.76390981674194","4.39554023742676","4.71468","4.73986","4.92365","","4.40848","4.68132","","4.81504","4.99923","5.92479","6.92927","6.11913","6.54906","6.80806","6.16293","6.48175","6.1899","","","",
"Afghanistan","AFG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","1.16035997867584","1.11717998981476","1.42788004875183","","1.30332005023956","","","","1.7398099899292","1.84092998504639","1.90917003154755","1.72997999191284","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.47945","3.46201","2.6042","3.45446","3.69522","3.2558","4.22836","4.05887","","",
"Angola","AGO","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","4.09021997451782","5.72269010543823","5.05850982666016","","","","","","","","","","","2.56712007522583","","2.60753","","","","","2.12011","2.28146","","","","3.42132","","","","","","","","","",
"Albania","ALB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.44697999954224","3.81464004516602","3.08350992202759","3.37947010993958","3.53697991371155","3.59293007850647","3.43017","3.4587","3.1178","3.13823","3.22752","3.28155","3.19146","3.27593","","","","","","3.5393","","3.43797","3.95464","","","",
"Andorra","AND","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.71327996253967","","","","","1.68153","","1.52269","1.59653","2.18989","2.07097","2.93007","3.15484","3.05742","3.14508","","2.43807","2.99781","3.25368","3.2567","3.19556","","",
"Arab World","ARB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","1.4580899477005","","1.93620002269745","1.78051996231079","1.92351996898651","1.84360003471375","1.16563999652863","1.71984004974365","1.93554997444153","2.4002799987793","2.60715007781982","","1.59786999225616","1.61749994754791","2.56972002983093","1.36186003684998","1.261549949646","1.28229999542236","","1.04612004756927","1.06737995147705","","","","","","3.73198008537292","","4.03986978530884","4.52167987823486","4.58031","4.83374","4.01734","3.53505","3.48652","3.86001","4.12821","4.4626","4.84441","5.53105","5.01971","5.29063","5.34583","5.43661","5.36144","5.77611","5.57218","5.50825","","",
"Armenia","ARM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.84843003749847","","","2.23518991470337","2.77273","2.46944","2.13504","2.14504","2.48673","2.71203","2.71577","3.01894","3.17273","3.84079","3.249","3.14385","2.77248","2.65018","2.24724","2.80591","2.75812","2.70545","","",
"American Samoa","ASM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
