"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14485228","1.27340344","1.15837113","1.300395","1.33175787","1.80004223","2.36885593","2.29179063","2.49575809","2.89019183","2.26727254","2.81783284","2.98174803","3.10793734","2.93575239","","","",
"Angola","AGO","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.54572601","13.16932112","11.38310897","14.34143321","21.05602551","24.17938412","37.33243399","53.52397587","87.01253624","81.07963262","60.03147046","79.07990319","79.76908243","89.13880836","71.34794142","51.47685043","42.02879929","","","",
"Albania","ALB","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.72516605","30.06941877","32.24477346","40.20335782","64.21336027","73.18395922","76.13274488","89.88622135","113.98340418","111.73906924","100.88633102","123.17172642","111.0714214","121.1241378","137.29223016","112.50302554","112.30153404","","","",
"Andorra","AND","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","852.42050463","877.02698482","931.84632354","1045.80290045","1120.05322227","1357.69726341","1397.51106895","1561.74270932","1719.98515346","1687.36257104","1673.58607106","1839.67502782","1791.8373958","1938.95565372","2076.60632849","1785.67458881","1883.99543637","","","",
"Arab World","ARB","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.7438080799218","67.2120066284311","65.8847113049823","64.7102866182902","70.6816061598105","79.5395059900293","93.8220317812913","109.014410221809","126.74815320999","148.240192664588","144.902597710726","171.230901531502","181.95401137219","203.583332930082","226.495201327117","205.219887922131","199.311244027919","","","",
"United Arab Emirates","ARE","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","538.12802962","594.27651608","521.02785182","538.849355","508.42851661","520.14332176","564.63535964","642.38885051","856.42394733","986.9355164","962.92606292","1074.70520034","1045.77019335","1120.1039751","1145.11533462","998.92161229","958.96197554","","","",
"Argentina","ARG","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","385.96757887","368.3476182","121.45394461","142.67356257","160.44221363","200.56323956","238.13185265","308.44704041","408.22694532","467.43018339","576.07962483","723.03212643","847.33142074","900.04043583","836.35532894","1013.44374143","710.93501083","","","",
"Armenia","ARM","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.40894844","10.05756397","9.90230005","11.88827776","16.56859503","24.20843309","34.30378237","50.8373478","59.98473892","54.19515085","54.33072681","58.71877674","56.77320679","56.77339197","60.13959289","58.25630137","59.03871069","","","",
"American Samoa","ASM","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257.00470762","269.97146576","270.48122474","280.02754453","268.57590564","327.82381835","369.11881744","412.51753404","479.88373932","423.32787243","465.35216271","455.24495201","420.57462008","436.28961839","519.20901876","439.61679319","377.3169971","","","",
"Australia","AUS","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1116.23144691","1055.75634095","1210.38681967","1524.9863604","1884.67468682","2054.87218494","2170.45611408","2629.69338209","2821.20897623","2770.11198623","3399.40611011","4067.59395007","4083.90377323","3943.95274641","3797.34117834","3333.87726324","3416.98230887","","","",
"Austria","AUT","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1678.6814866","1679.49584527","1825.766617","2255.81182891","2585.48287801","2694.59382783","2826.24503806","3256.18826167","3716.95577424","3576.21480139","3472.18034044","3751.52299679","3619.18657668","3777.22310487","3906.07860781","3351.39995662","3399.48914237","","","",
"Azerbaijan","AZE","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.62703741","5.89447894","5.96523949","7.15551204","10.36347856","13.65749802","20.77304737","36.35906956","44.93211822","65.27852386","68.17195964","77.97699787","90.49395849","90.85787879","97.39398613","78.85341936","53.53440392","","","",
